[RUN] id=20260213_230032 epochs=20 emb_dim=512 verif_interval=5000
[RUN] train_log_interval=1000 num_classes=85742
[RUN] train_log=logs/train/train_20260213_230032.log test_log=logs/test/test_20260213_230032.log
[RUN] torchao_int8=True
step=88000 epoch=3 loss=20.8018 acc=0.877243 lr=0.01
step=89000 epoch=3 loss=20.7310 acc=0.878523 lr=0.01
step=90000 epoch=3 loss=20.6613 acc=0.879797 lr=0.01
epoch=3 train_loss=20.5956 train_acc=0.880972 epoch_time=2839.0s ETA=13:24:23
step=91000 epoch=4 loss=19.7630 acc=0.925164 lr=0.01
step=92000 epoch=4 loss=17.9904 acc=0.927252 lr=0.01
step=93000 epoch=4 loss=18.0924 acc=0.925613 lr=0.01
step=94000 epoch=4 loss=18.1590 acc=0.925025 lr=0.01
step=95000 epoch=4 loss=18.2047 acc=0.924694 lr=0.01
step=96000 epoch=4 loss=18.2376 acc=0.924287 lr=0.01
step=97000 epoch=4 loss=18.2529 acc=0.924082 lr=0.01
step=98000 epoch=4 loss=18.2629 acc=0.924011 lr=0.01
step=99000 epoch=4 loss=18.2755 acc=0.923783 lr=0.01
step=100000 epoch=4 loss=18.2781 acc=0.923772 lr=0.01
step=101000 epoch=4 loss=18.2801 acc=0.923745 lr=0.01
step=102000 epoch=4 loss=18.2759 acc=0.923825 lr=0.01
step=103000 epoch=4 loss=18.2689 acc=0.923932 lr=0.01
step=104000 epoch=4 loss=18.2593 acc=0.924139 lr=0.01
step=105000 epoch=4 loss=18.2518 acc=0.924233 lr=0.01
step=106000 epoch=4 loss=18.2417 acc=0.924404 lr=0.01
step=107000 epoch=4 loss=18.2314 acc=0.924596 lr=0.01
step=108000 epoch=4 loss=18.2169 acc=0.924819 lr=0.01
step=109000 epoch=4 loss=18.2036 acc=0.925003 lr=0.01
step=110000 epoch=4 loss=18.1904 acc=0.925238 lr=0.01
step=111000 epoch=4 loss=18.1767 acc=0.925418 lr=0.01
step=112000 epoch=4 loss=18.1626 acc=0.925613 lr=0.01
step=113000 epoch=4 loss=18.1495 acc=0.925793 lr=0.01
step=114000 epoch=4 loss=18.1349 acc=0.925975 lr=0.01
step=115000 epoch=4 loss=18.1195 acc=0.926181 lr=0.01
step=116000 epoch=4 loss=18.1052 acc=0.926386 lr=0.01
step=117000 epoch=4 loss=18.0897 acc=0.926600 lr=0.01
step=118000 epoch=4 loss=18.0731 acc=0.926818 lr=0.01
step=119000 epoch=4 loss=18.0585 acc=0.927025 lr=0.01
step=120000 epoch=4 loss=18.0439 acc=0.927206 lr=0.01
step=121000 epoch=4 loss=18.0296 acc=0.927412 lr=0.01
epoch=4 train_loss=18.0243 train_acc=0.927465 epoch_time=2839.4s ETA=12:37:09
step=122000 epoch=5 loss=16.8650 acc=0.942641 lr=0.01
step=123000 epoch=5 loss=16.9588 acc=0.941708 lr=0.01
step=124000 epoch=5 loss=17.0672 acc=0.940369 lr=0.01
step=125000 epoch=5 loss=17.1276 acc=0.939840 lr=0.01
step=126000 epoch=5 loss=17.1738 acc=0.939344 lr=0.01
step=127000 epoch=5 loss=17.2027 acc=0.938964 lr=0.01
step=128000 epoch=5 loss=17.2160 acc=0.938762 lr=0.01
step=129000 epoch=5 loss=17.2258 acc=0.938634 lr=0.01
step=130000 epoch=5 loss=17.2310 acc=0.938520 lr=0.01
step=131000 epoch=5 loss=17.2359 acc=0.938444 lr=0.01
step=132000 epoch=5 loss=17.2408 acc=0.938346 lr=0.01
step=133000 epoch=5 loss=17.2474 acc=0.938237 lr=0.01
step=134000 epoch=5 loss=17.2449 acc=0.938254 lr=0.01
step=135000 epoch=5 loss=17.2432 acc=0.938261 lr=0.01
step=136000 epoch=5 loss=17.2390 acc=0.938265 lr=0.01
step=137000 epoch=5 loss=17.2398 acc=0.938264 lr=0.01
step=138000 epoch=5 loss=17.2336 acc=0.938356 lr=0.01
step=139000 epoch=5 loss=17.2272 acc=0.938408 lr=0.01
step=140000 epoch=5 loss=17.2196 acc=0.938457 lr=0.01
step=141000 epoch=5 loss=17.2128 acc=0.938520 lr=0.01
step=142000 epoch=5 loss=17.2068 acc=0.938539 lr=0.01
step=143000 epoch=5 loss=17.1987 acc=0.938619 lr=0.01
step=144000 epoch=5 loss=17.1933 acc=0.938674 lr=0.01
